Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award,pdf_local
SciVis,2018,Visualization of Neuronal Structures in Wide-Field Microscopy Brain Images,10.1109/TVCG.2018.2864852,http://dx.doi.org/10.1109/TVCG.2018.2864852,1018,1028,J,"Wide-field microscopes are commonly used in neurobiology for experimental studies of brain samples. Available visualization tools are limited to electron, two-photon, and confocal microscopy datasets, and current volume rendering techniques do not yield effective results when used with wide-field data. We present a workflow for the visualization of neuronal structures in wide-field microscopy images of brain samples. We introduce a novel gradient-based distance transform that overcomes the out-of-focus blur caused by the inherent design of wide-field microscopes. This is followed by the extraction of the 3D structure of neurites using a multi-scale curvilinear filter and cell-bodies using a Hessian-based enhancement filter. The response from these filters is then applied as an opacity map to the raw data. Based on the visualization challenges faced by domain experts, our workflow provides multiple rendering modes to enable qualitative analysis of neuronal structures, which includes separation of cell-bodies from neurites and an intensity-based classification of the structures. Additionally, we evaluate our visualization results against both a standard image processing deconvolution technique and a confocal microscopy image of the same specimen. We show that our method is significantly faster and requires less computational resources, while producing high quality visualizations. We deploy our workflow in an immersive gigapixel facility as a paradigm for the processing and visualization of large, high-resolution, wide-field microscopy brain datasets.",Saeed Boorboor;Shreeraj Jadhav;Mala Ananth;David Talmage;Lorna Role;Arie E. Kaufman,Saeed Boorboor;Shreeraj Jadhav;Mala Ananth;David Talmage;Lorna Role;Arie Kaufman,Department of Computer ScienceStony Brook University;Department of Computer ScienceStony Brook University;Department of Neurobiology & behaviorStony Brook University;Department of Neurobiology & behaviorStony Brook University;Department of Neurobiology & behaviorStony Brook University;Department of Computer ScienceStony Brook University,10.1109/TVCG.2014.2346312;10.1109/TVCG.2013.142;10.1109/TVCG.2012.203;10.1109/TVCG.2017.2744079;10.1109/TVCG.2009.118;10.1109/TVCG.2016.2598472,"Wide-field microscopy,volume visualization,neuron visualization,neuroscience",nan,2.0,0.0,58.0,nan,papers/scivis-tvcg/1018_boorboor.pdf
VAST,2018,Doccurate: A Curation-Based Approach for Clinical Text Visualization,10.1109/TVCG.2018.2864905,http://dx.doi.org/10.1109/TVCG.2018.2864905,142,151,J,"Before seeing a patient, physicians seek to obtain an overview of the patient's medical history. Text plays a major role in this activity since it represents the bulk of the clinical documentation, but reviewing it quickly becomes onerous when patient charts grow too large. Text visualization methods have been widely explored to manage this large scale through visual summaries that rely on information retrieval algorithms to structure text and make it amenable to visualization. However, the integration with such automated approaches comes with a number of limitations, including significant error rates and the need for healthcare providers to fine-tune algorithms without expert knowledge of their inner mechanics. In addition, several of these approaches obscure or substitute the original clinical text and therefore fail to leverage qualitative and rhetorical flavours of the clinical notes. These drawbacks have limited the adoption of text visualization and other summarization technologies in clinical practice. In this work we present Doccurate, a novel system embodying a curation-based approach for the visualization of large clinical text datasets. Our approach offers automation auditing and customizability to physicians while also preserving and extensively linking to the original text. We discuss findings of a formal qualitative evaluation conducted with 6 domain experts, shedding light onto physicians' information needs, perceived strengths and limitations of automated tools, and the importance of customization while balancing efficiency. We also present use case scenarios to showcase Doccurate's envisioned usage in practice.",Nicole Sultanum;Devin Singh;Michael Brudno;Fanny Chevalier,Nicole Sultanum;Devin Singh;Michael Brudno;Fanny Chevalier,Hospital for Sick Children;Hospital for Sick Children;University of Toronto;University of Toronto,10.1109/VAST.2012.6400485;10.1109/TVCG.2015.2467531;10.1109/TVCG.2017.2745118;10.1109/INFVIS.2000.885098;10.1109/TVCG.2017.2744478;10.1109/TVCG.2015.2467591,"Visual Curation,Clinical Text,Text Visualization,Medical Narrative",nan,3.0,2.0,40.0,nan,papers/vast-tvcg/142_sultanum.pdf
VAST,2018,VIS Author Profiles: Interactive Descriptions of Publication Records Combining Text and Visualization,10.1109/TVCG.2018.2865022,http://dx.doi.org/10.1109/TVCG.2018.2865022,152,161,J,"Publication records and collaboration networks are important for assessing the expertise and experience of researchers. Existing digital libraries show the raw publication lists in author profiles, whereas visualization techniques focus on specific subproblems. Instead, we look at publication records from various perspectives mixing low-level publication data with high-level abstractions and background information. This work presents VIS Author Profiles, a novel approach to generate integrated textual and visual descriptions to highlight patterns in publication records. We leverage template-based natural language generation to summarize notable publication statistics, evolution of research topics, and collaboration relationships. Seamlessly integrated visualizations augment the textual description and are interactively connected with each other and the text. The underlying publication data and detailed explanations of the analysis are available on demand. We compare our approach to existing systems by taking into account information needs of users and demonstrate its usefulness in two realistic application examples.",Shahid Latif;Fabian Beck 0001,Shahid Latif;Fabian Beck,"Paluno, University of Duisburg, Essen, Germany;Paluno, University of Duisburg, Essen, Germany",10.1109/TVCG.2015.2467757;10.1109/TVCG.2012.252;10.1109/TVCG.2014.2346435;10.1109/TVCG.2007.70582;10.1109/VAST.2015.7347632;10.1109/TVCG.2015.2468151;10.1109/TVCG.2013.167,"Natural language generation,document visualization,interactive documents,sparklines,digital libraries",nan,4.0,2.0,36.0,nan,papers/vast-tvcg/152_latif.pdf
VAST,2018,BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence,10.1109/TVCG.2018.2864814,http://dx.doi.org/10.1109/TVCG.2018.2864814,162,171,J,"The emerging prosperity of cryptocurrencies, such as Bitcoin, has come into the spotlight during the past few years. Cryptocurrency exchanges, which act as the gateway to this world, now play a dominant role in the circulation of Bitcoin. Thus, delving into the analysis of the transaction patterns of exchanges can shed light on the evolution and trends in the Bitcoin market, and participants can gain hints for identifying credible exchanges as well. Not only Bitcoin practitioners but also researchers in the financial domains are interested in the business intelligence behind the curtain. However, the task of multiple exchanges exploration and comparisons has been limited owing to the lack of efficient tools. Previous methods of visualizing Bitcoin data have mainly concentrated on tracking suspicious transaction logs, but it is cumbersome to analyze exchanges and their relationships with existing tools and methods. In this paper, we present BitExTract, an interactive visual analytics system, which, to the best of our knowledge, is the first attempt to explore the evolutionary transaction patterns of Bitcoin exchanges from two perspectives, namely, exchange versus exchange and exchange versus client. In particular, BitExTract summarizes the evolution of the Bitcoin market by observing the transactions between exchanges over time via a massive sequence view. A node-link diagram with ego-centered views depicts the trading network of exchanges and their temporal transaction distribution. Moreover, BitExTract embeds multiple parallel bars on a timeline to examine and compare the evolution patterns of transactions between different exchanges. Three case studies with novel insights demonstrate the effectiveness and usability of our system.",Xuanwu Yue;Xinhuan Shu;Xinyu Zhu;Xinnan Du;Zheqing Yu;Dimitrios Papadopoulos;Siyuan Liu,Xuanwu Yue;Xinhuan Shu;Xinyu Zhu;Xinnan Du;Zheqing Yu;Dimitrios Papadopoulos;Siyuan Liu,Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Penn State University,10.1109/TVCG.2008.117;10.1109/TVCG.2011.169;10.1109/VAST.2007.4389009;10.1109/TVCG.2009.180;10.1109/TVCG.2014.2346913,"Bitcoin exchange,transaction data,comparative analysis,visual analytics,FinTech",nan,3.0,2.0,50.0,nan,papers/vast-tvcg/162_yue.pdf
VAST,2018,VUSphere: Visual Analysis of Video Utilization in Online Distance Education,10.1109/VAST.2018.8802383,http://dx.doi.org/10.1109/VAST.2018.8802383,25,35,C,"Online Distance Education (ODE) provides massive course videos of various specialties for students across the country to learn professional knowledge anytime and anywhere. Analyzing the utilization of these videos from user log data can help academics better understand the learning process of students, evaluate the quality of service provided by regional learning centers, and improve the quality of program curriculum in the future. However, due to the lack of comparable indicators, it is a great challenge to discover the utilization patterns of massive videos and analyze the learning process of large-scale student population from learning log data. In this paper, we introduce a visual analytics system, called VUSphere, to explore the video utilization from multiple perspectives with two proposed indicators. This system offers three coordinated views: a spherical layout overview to depict the overall utilization distribution of videos, courses, and students; a detailed statistics view with four panels to present video utilization statistics of each element from multiple perspectives; and a comparison view to examine the differences in individual elements. Based on the real dataset from our ODE school, several patterns related to video utilization and enrollment are found in the case study with our domain experts.",Huan He;Qinghua Zheng;Bo Dong,Huan He;Oinghua Zheng;Bo Dong,"Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, Xi’an Jiaotong University;Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, Xi’an Jiaotong University;School of Continuing Education, Xi’an Jiaotong University",10.1109/TVCG.2016.2598444;10.1109/VAST.2016.7883517;10.1109/TVCG.2015.2467322,"Video utilization pattern,online distance education,visual analytics",nan,0.0,nan,0.0,nan,papers/vast-conference/he.pdf
InfoVis,2018,Juniper: A Tree+Table Approach to Multivariate Graph Visualization,10.1109/TVCG.2018.2865149,http://dx.doi.org/10.1109/TVCG.2018.2865149,544,554,J,"Analyzing large, multivariate graphs is an important problem in many domains, yet such graphs are challenging to visualize. In this paper, we introduce a novel, scalable, tree-table multivariate graph visualization technique, which makes many tasks related to multivariate graph analysis easier to achieve. The core principle we follow is to selectively query for nodes or subgraphs of interest and visualize these subgraphs as a spanning tree of the graph. The tree is laid out linearly, which enables us to juxtapose the nodes with a table visualization where diverse attributes can be shown. We also use this table as an adjacency matrix, so that the resulting technique is a hybrid node-link/adjacency matrix technique. We implement this concept in Juniper and complement it with a set of interaction techniques that enable analysts to dynamically grow, restructure, and aggregate the tree, as well as change the layout or show paths between nodes. We demonstrate the utility of our tool in usage scenarios for different multivariate networks: a bipartite network of scholars, papers, and citation metrics and a multitype network of story characters, places, books, etc.",Carolina Nobre;Marc Streit;Alexander Lex,Carolina Nobre;Marc Streit;Alexander Lex,"University of Utah;Johannes Kepler University, Linz;University of Utah",10.1109/TVCG.2011.247;10.1109/INFVIS.2005.1532126;10.1109/TVCG.2007.70582;10.1109/TVCG.2006.147;10.1109/INFVIS.2003.1249009;10.1109/VISUAL.1991.175815;10.1109/TVCG.2014.2346248;10.1109/TVCG.2017.2744898;10.1109/INFVIS.2000.885091;10.1109/TVCG.2015.2468078;10.1109/TVCG.2014.2346441;10.1109/TVCG.2009.108;10.1109/TVCG.2016.2598885;10.1109/INFVIS.2001.963279,"Multivariate graphs,networks,tree-based graph visualization,adjacency matrix,spanning trees,visualization",0.0,4.0,4.0,52.0,nan,papers/infovis-tvcg/544_nobre.pdf
InfoVis,2018,Structure-Based Suggestive Exploration: A New Approach for Effective Exploration of Large Networks,10.1109/TVCG.2018.2865139,http://dx.doi.org/10.1109/TVCG.2018.2865139,555,565,J,"When analyzing a visualized network, users need to explore different sections of the network to gain insight. However, effective exploration of large networks is often a challenge. While various tools are available for users to explore the global and local features of a network, these tools usually require significant interaction activities, such as repetitive navigation actions to follow network nodes and edges. In this paper, we propose a structure-based suggestive exploration approach to support effective exploration of large networks by suggesting appropriate structures upon user request. Encoding nodes with vectorized representations by transforming information of surrounding structures of nodes into a high dimensional space, our approach can identify similar structures within a large network, enable user interaction with multiple similar structures simultaneously, and guide the exploration of unexplored structures. We develop a web-based visual exploration system to incorporate this suggestive exploration approach and compare performances of our approach under different vectorizing methods and networks. We also present the usability and effectiveness of our approach through a controlled user study with two datasets.",Wei Chen 0001;Fangzhou Guo;Dongming Han;Jacheng Pan;Xiaotao Nie;Jiazhi Xia;Xiaolong Zhang,Wei Chen;Fangzhou Guo;Dongming Han;Jacheng Pan;Xiaotao Nie;Jiazhi Xia;Xiaolong Zhang,State Key Lab of CAD and CGZhejiang University;State Key Lab of CAD and CGZhejiang University;State Key Lab of CAD and CGZhejiang University;State Key Lab of CAD and CGZhejiang University;State Key Lab of CAD and CGZhejiang University;Central South University;Pennsylvania State University,10.1109/TVCG.2006.120;10.1109/TVCG.2016.2598958;10.1109/INFVIS.2004.1;10.1109/INFVIS.2005.1532126;10.1109/TVCG.2007.70582;10.1109/TVCG.2006.147;10.1109/TVCG.2008.151;10.1109/TVCG.2017.2743858;10.1109/VAST.2014.7042485;10.1109/TVCG.2017.2744938;10.1109/TVCG.2016.2598831;10.1109/TVCG.2017.2744898;10.1109/TVCG.2017.2745219;10.1109/TVCG.2015.2468078;10.1109/TVCG.2009.108;10.1109/VAST.2009.5333893;10.1109/TVCG.2013.167,"Large Network Exploration,Structure-Based Exploration,Suggestive Exploration",0.0,5.0,2.0,80.0,nan,papers/infovis-tvcg/555_guo.pdf
InfoVis,2018,Structure-aware Fisheye Views for Efficient Large Graph Exploration,10.1109/TVCG.2018.2864911,http://dx.doi.org/10.1109/TVCG.2018.2864911,566,575,J,"Traditional fisheye views for exploring large graphs introduce substantial distortions that often lead to a decreased readability of paths and other interesting structures. To overcome these problems, we propose a framework for structure-aware fisheye views. Using edge orientations as constraints for graph layout optimization allows us not only to reduce spatial and temporal distortions during fisheye zooms, but also to improve the readability of the graph structure. Furthermore, the framework enables us to optimize fisheye lenses towards specific tasks and design a family of new lenses: polyfocal, cluster, and path lenses. A GPU implementation lets us process large graphs with up to 15,000 nodes at interactive rates. A comprehensive evaluation, a user study, and two case studies demonstrate that our structure-aware fisheye views improve layout readability and user performance.",Yunhai Wang;Yanyan Wang;Haifeng Zhang;Yinqi Sun;Chi-Wing Fu;Michael Sedlmair;Baoquan Chen;Oliver Deussen,Yunhai Wang;Yanyan Wang;Haifeng Zhang;Yinqi Sun;Chi-Wing Fu;Michael Sedlmair;Baoquan Chen;Oliver Deussen,"Shandong University;Shandong University;Shandong University;Shandong University;Chinese University of Hong Kong;VISUSUniversity of Stuttgart;Peking University;Konstanz University, Germany",10.1109/TVCG.2015.2467035;10.1109/INFVIS.2005.1532130;10.1109/TVCG.2006.156;10.1109/TVCG.2008.130;10.1109/INFVIS.2004.66;10.1109/TVCG.2011.223;10.1109/TVCG.2009.108;10.1109/TVCG.2007.70577;10.1109/TVCG.2017.2745919;10.1109/INFVIS.2003.1249008;10.1109/TVCG.2012.189,"Graph Visualization,Focus-Context Technique,Structure-aware Zoom,Graph Layout Technique",0.0,2.0,2.0,56.0,nan,papers/infovis-tvcg/566_wang.pdf
InfoVis,2018,"Graphicle: Exploring Units, Networks, and Context in a Blended Visualization Approach",10.1109/TVCG.2018.2865151,http://dx.doi.org/10.1109/TVCG.2018.2865151,576,585,J,"Many real-world datasets are large, multivariate, and relational in nature and relevant associated decisions frequently require a simultaneous consideration of both attributes and connections. Existing visualization systems and approaches, however, often make an explicit trade-off between either affording rich exploration of individual data units and their attributes or exploration of the underlying network structure. In doing so, important analysis opportunities and insights are potentially missed. In this study, we aim to address this gap by (1) considering visualizations and interaction techniques that blend the spectrum between unit and network visualizations, (2) discussing the nature of different forms of contexts and the challenges in implementing them, and (3) demonstrating the value of our approach for visual exploration of multivariate, relational data for a real-world use case. Specifically, we demonstrate through a system called Graphicle how network structure can be layered on top of unit visualization techniques to create new opportunities for visual exploration of physician characteristics and referral data. We report on the design, implementation, and evaluation of the system and effectiveness of our blended approach.",Timothy Major;Rahul C. Basole,Timothy Major;Rahul C. Basole,Georgia Institute of Technology;Georgia Institute of Technology,10.1109/TVCG.2012.252;10.1109/INFVIS.2005.1532126;10.1109/TVCG.2007.70539;10.1109/TVCG.2007.70582;10.1109/TVCG.2014.2346292;10.1109/TVCG.2013.227;10.1109/TVCG.2006.166;10.1109/TVCG.2014.2346441;10.1109/TVCG.2009.108;10.1109/INFVIS.2003.1249004;10.1109/TVCG.2010.205;10.1109/TVCG.2007.70589;10.1109/VAST.2009.5333880;10.1109/TVCG.2013.167,"Unit visualization,network visualization,context",0.0,1.0,1.0,46.0,nan,papers/infovis-tvcg/576_major.pdf
SciVis,2018,Interactive obstruction-free lensing for volumetric data visualization,10.1109/TVCG.2018.2864690,http://dx.doi.org/10.1109/TVCG.2018.2864690,1029,1039,J,"Occlusion is an issue in volumetric visualization as it prevents direct visualization of the region of interest. While many techniques such as transfer functions, volume segmentation or view distortion have been developed to address this, there is still room for improvement to better support the understanding of objects' vicinity. However, most existing Focus+Context fail to solve partial occlusion in datasets where the target and the occluder are very similar density-wise. For these reasons, we investigate a new technique which maintains the general structure of the investigated volumetric dataset while addressing occlusion issues. With our technique, the user interactively defines an area of interest where an occluded region or object is partially visible. Then our lens starts pushing at its border occluding objects, thus revealing hidden volumetric data. Next, the lens is modified with an extended field of view (fish-eye deformation) to better see the vicinity of the selected region. Finally, the user can freely explore the surroundings of the area under investigation within the lens. To provide real-time exploration, we implemented our lens using a GPU accelerated ray-casting framework to handle ray deformations, local lighting, and local viewpoint manipulation. We illustrate our technique with five application scenarios in baggage inspection, 3D fluid flow visualization, chest radiology, air traffic planning, and DTI fiber exploration.",Michael Traoré;Christophe Hurter;Alexandru Telea,Michael Traoré;Christophe Hurter;Alexandru Telea,ENACFrench Civil Aviation University;ENACFrench Civil Aviation University;Institute Johan BernoulliUniversity of Groningen,10.1109/TVCG.2006.140;10.1109/TVCG.2006.144;10.1109/TVCG.2007.70565;10.1109/TVCG.2010.127;10.1109/TVCG.2009.138;10.1109/VISUAL.2004.32;10.1109/TVCG.2011.223;10.1109/TVCG.2010.193;10.1109/TVCG.2006.124;10.1109/VISUAL.2003.1250400;10.1109/VISUAL.1999.809865;10.1109/TVCG.2012.265;10.1109/TVCG.2016.2599049;10.1109/VISUAL.2005.1532818,"Interaction techniques,focus + context,volume visualization,volume rendering,raycasting",0.0,2.0,1.0,51.0,nan,papers/scivis-tvcg/1029_traore.pdf
SciVis,2018,Dynamic Volume Lines: Visual Comparison of 3D Volumes through Space-filling Curves,10.1109/TVCG.2018.2864510,http://dx.doi.org/10.1109/TVCG.2018.2864510,1040,1049,J,"The comparison of many members of an ensemble is difficult, tedious, and error-prone, which is aggravated by often just subtle differences. In this paper, we introduce Dynamic Volume Lines for the interactive visual analysis and comparison of sets of 3D volumes. Each volume is linearized along a Hilbert space-filling curve into a 1D Hilbert line plot, which depicts the intensities over the Hilbert indices. We present a nonlinear scaling of these 1D Hilbert line plots based on the intensity variations in the ensemble of 3D volumes, which enables a more effective use of the available screen space. The nonlinear scaling builds the basis for our interactive visualization techniques. An interactive histogram heatmap of the intensity frequencies serves as overview visualization. When zooming in, the frequencies are replaced by detailed 1D Hilbert line plots and optional functional boxplots. To focus on important regions of the volume ensemble, nonlinear scaling is incorporated into the plots. An interactive scaling widget depicts the local ensemble variations. Our brushing and linking interface reveals, for example, regions with a high ensemble variation by showing the affected voxels in a 3D spatial view. We show the applicability of our concepts using two case studies on ensembles of 3D volumes resulting from tomographic reconstruction. In the first case study, we evaluate an artificial specimen from simulated industrial 3D X-ray computed tomography (XCT). In the second case study, a real-world XCT foam specimen is investigated. Our results show that Dynamic Volume Lines can identify regions with high local intensity variations, allowing the user to draw conclusions, for example, about the choice of reconstruction parameters. Furthermore, it is possible to detect ring artifacts in reconstructions volumes.",Johannes Weissenböck;Bernhard Fröhler;M. Eduard Gröller;Johann Kastner;Christoph Heinzl,Johannes Weissenböck;Bernhard Fröhler;Eduard Gröller;Johann Kastner;Christoph Heinzl,"University of Applied Sciences Upper Austria, Wels, Austria;University of Applied Sciences Upper Austria, Wels, Austria;TU Wien, Vienna, Austria;University of Applied Sciences Upper Austria, Wels, Austria;University of Applied Sciences Upper Austria, Wels, Austria",10.1109/TVCG.2014.2346448;10.1109/VAST.2015.7347634;10.1109/TVCG.2009.155;10.1109/TVCG.2014.2346455;10.1109/VISUAL.2005.1532847;10.1109/TVCG.2013.213;10.1109/VAST.2014.7042491;10.1109/TVCG.2014.2346321;10.1109/VAST.2016.7883516;10.1109/TVCG.2013.143,"Ensemble data,comparative visualization,visual analysis,Hilbert curve,nonlinear scaling,X-ray computed tomography",nan,2.0,1.0,43.0,nan,papers/scivis-tvcg/1040_weissenbock.pdf
SciVis,2018,A Declarative Grammar of Flexible Volume Visualization Pipelines,10.1109/TVCG.2018.2864841,http://dx.doi.org/10.1109/TVCG.2018.2864841,1050,1059,J,"This paper presents a declarative grammar for conveniently and effectively specifying advanced volume visualizations. Existing methods for creating volume visualizations either lack the flexibility to specify sophisticated visualizations or are difficult to use for those unfamiliar with volume rendering implementation and parameterization. Our design provides the ability to quickly create expressive visualizations without knowledge of the volume rendering implementation. It attempts to capture aspects of those difficult but powerful methods while remaining flexible and easy to use. As a proof of concept, our current implementation of the grammar allows users to combine multiple data variables in various ways and define transfer functions for diverse input data. The grammar also has the ability to describe advanced shading effects and create animations. We demonstrate the power and flexibility of our approach using multiple practical volume visualizations.",Min Shih;Charles Rozhon;Kwan-Liu Ma,Min Shih;Charles Rozhon;Kwan-Liu Ma,"University of California, Davis;University of California, Davis;University of California, Davis",10.1109/VISUAL.2005.1532788;10.1109/TVCG.2009.174;10.1109/TVCG.2011.185;10.1109/TVCG.2007.70555;10.1109/TVCG.2014.2346322;10.1109/TVCG.2009.189;10.1109/TVCG.2015.2467449;10.1109/VISUAL.1992.235219;10.1109/VISUAL.2004.95;10.1109/TVCG.2007.70534;10.1109/TVCG.2014.2346318;10.1109/TVCG.2016.2599030;10.1109/TVCG.2015.2467091;10.1109/SciVis.2015.7429514;10.1109/TVCG.2016.2599041,"Volume visualization,direct volume rendering,declarative specification,multivariate/multimodal volume data,animation",0.0,1.0,0.0,41.0,nan,papers/scivis-tvcg/1050_shih.pdf
InfoVis,2018,Vistrates: A Component Model for Ubiquitous Analytics,10.1109/TVCG.2018.2865144,http://dx.doi.org/10.1109/TVCG.2018.2865144,586,596,J,"Visualization tools are often specialized for specific tasks, which turns the user's analytical workflow into a fragmented process performed across many tools. In this paper, we present a component model design for data visualization to promote modular designs of visualization tools that enhance their analytical scope. Rather than fragmenting tasks across tools, the component model supports unification, where components-the building blocks of this model-can be assembled to support a wide range of tasks. Furthermore, the model also provides additional key properties, such as support for collaboration, sharing across multiple devices, and adaptive usage depending on expertise, from creating visualizations using dropdown menus, through instantiating components, to actually modifying components or creating entirely new ones from scratch using JavaScript or Python source code. To realize our model, we introduce Vistrates, a literate computing platform for developing, assembling, and sharing visualization components. From a visualization perspective, Vistrates features cross-cutting components for visual representations, interaction, collaboration, and device responsiveness maintained in a component repository. From a development perspective, Vistrates offers a collaborative programming environment where novices and experts alike can compose component pipelines for specific analytical activities. Finally, we present several Vistrates use cases that span the full range of the classic “anytime” and “anywhere” motto for ubiquitous analysis: from mobile and on-the-go usage, through office settings, to collaborative smart environments covering a variety of tasks and devices..",Sriram Karthik Badam;Andreas Mathisen;Roman Rädle;Clemens Nylandsted Klokmose;Niklas Elmqvist,Sriram Karthik Badam;Andreas Mathisen;Roman Rädle;Clemens N. Klokmose;Niklas Elmqvist,"University of Maryland, College Park, MD, USA;Aarhus University, Aarhus, Denmark;Aarhus University, Aarhus, Denmark;Aarhus University, Aarhus, Denmark;University of Maryland, College Park, MD, USA",10.1109/TVCG.2016.2598647;10.1109/TVCG.2017.2743990;10.1109/TVCG.2009.174;10.1109/TVCG.2011.185;10.1109/TVCG.2017.2745278;10.1109/INFVIS.2000.885092;10.1109/TVCG.2013.197;10.1109/VAST.2007.4389011;10.1109/TVCG.2008.137;10.1109/TVCG.2017.2744019;10.1109/TVCG.2012.204;10.1109/TVCG.2013.191;10.1109/TVCG.2014.2346573;10.1109/TVCG.2013.200;10.1109/TVCG.2014.2346291;10.1109/TVCG.2016.2599030;10.1109/TVCG.2014.2346574;10.1109/INFVIS.2000.885086;10.1109/TVCG.2009.162;10.1109/TVCG.2007.70577;10.1109/TVCG.2007.70589,"Components,literate computing,development,exploration,dissemination,collaboration,heterogeneous devices",0.0,3.0,2.0,80.0,nan,papers/infovis-tvcg/586_badam.pdf
InfoVis,2018,SmartCues: A Multitouch Query Approach for Details-on-Demand through Dynamically Computed Overlays,10.1109/TVCG.2018.2865231,http://dx.doi.org/10.1109/TVCG.2018.2865231,597,607,J,"Details-on-demand is a crucial feature in the visual information-seeking process but is often only implemented in highly constrained settings. The most common solution, hover queries (i.e., tooltips), are fast and expressive but are usually limited to single mark (e.g., a bar in a bar chart). `Queries' to retrieve details for more complex sets of objects (e.g., comparisons between pairs of elements, averages across multiple items, trend lines, etc.) are difficult for end-users to invoke explicitly. Further, the output of these queries require complex annotations and overlays which need to be displayed and dismissed on demand to avoid clutter. In this work we introduce SmartCues, a library to support details-on-demand through dynamically computed overlays. For end-users, SmartCues provides multitouch interactions to construct complex queries for a variety of details. For designers, SmartCues offers an interaction library that can be used out-of-the-box, and can be extended for new charts and detail types. We demonstrate how SmartCues can be implemented across a wide array of visualization types and, through a lab study, show that end users can effectively use SmartCues.",Hariharan Subramonyam;Eytan Adar,Hariharan Subramonyam;Eytan Adar,School of InformationUniversity of Michigan;School of InformationUniversity of Michigan,10.1109/INFVIS.1995.528688;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2013.124;10.1109/TVCG.2006.187;10.1109/VAST.2010.5652885;10.1109/TVCG.2013.119;10.1109/VAST.2012.6400487;10.1109/TVCG.2014.2346250;10.1109/TVCG.2012.229;10.1109/TVCG.2008.109;10.1109/TVCG.2012.204;10.1109/TVCG.2010.179;10.1109/TVCG.2017.2745958;10.1109/TVCG.2007.70515,"Graphical overlays,details-on-demand,graph comprehension",0.0,1.0,0.0,73.0,nan,papers/infovis-tvcg/597_subramonyam.pdf
InfoVis,2018,"Multiple Coordinated Views at Large Displays for Multiple Users: Empirical Findings on User Behavior, Movements, and Distances",10.1109/TVCG.2018.2865235,http://dx.doi.org/10.1109/TVCG.2018.2865235,608,618,J,"Interactive wall-sized displays benefit data visualization. Due to their sheer display size, they make it possible to show large amounts of data in multiple coordinated views (MCV) and facilitate collaborative data analysis. In this work, we propose a set of important design considerations and contribute a fundamental input vocabulary and interaction mapping for MCV functionality. We also developed a fully functional application with more than 45 coordinated views visualizing a real-world, multivariate data set of crime activities, which we used in a comprehensive qualitative user study investigating how pairs of users behave. Most importantly, we found that flexible movement is essential and-depending on user goals-is connected to collaboration, perception, and interaction. Therefore, we argue that for future systems interaction from the distance is required and needs good support. We show that our consistent design for both direct touch at the large display and distant interaction using mobile phones enables the seamless exploration of large-scale MCV at wall-sized displays. Our MCV application builds on design aspects such as simplicity, flexibility, and visual consistency and, therefore, supports realistic workflows. We believe that in the future, many visual data analysis scenarios will benefit from wall-sized displays presenting numerous coordinated visualizations, for which our findings provide a valuable foundation.",Ricardo Langner;Ulrike Kister;Raimund Dachselt,Ricardo Langner;Ulrike Kister;Raimund Dachselt,"Interactive Media Lab, Technische Universität Dresden, Germany;Interactive Media Lab, Technische Universität Dresden, Germany;Interactive Media Lab, Technische Universität Dresden, Germany",10.1109/VAST.2016.7883506;10.1109/TVCG.2012.251;10.1109/VAST.2010.5652880;10.1109/TVCG.2013.166;10.1109/TVCG.2013.134;10.1109/TVCG.2017.2743859;10.1109/TVCG.2017.2744019;10.1109/TVCG.2012.204;10.1109/TVCG.2017.2744198;10.1109/TVCG.2017.2745219;10.1109/TVCG.2009.162;10.1109/TVCG.2012.237;10.1109/TVCG.2012.275;10.1109/INFVIS.1996.559216;10.1109/TVCG.2006.184,"Multiple coordinated views,wall-sized displays,mobile devices,distant interaction,physical navigation,user behavior,user movements,multi-user,collaborative data analysis",0.0,3.0,2.0,79.0,nan,papers/infovis-tvcg/608_langner.pdf
